date,open,high,low,close,volume
2026-03-17,170.10,171.55,169.20,170.80,38500000
2026-03-18,170.85,172.40,170.00,171.95,41200000
2026-03-19,171.95,173.10,171.30,172.50,39800000
2026-03-20,172.40,173.75,171.85,173.00,42100000
2026-03-21,173.05,174.30,172.50,173.60,37650000
2026-03-24,173.55,175.20,173.00,174.80,44900000
2026-03-25,174.85,176.00,174.10,175.40,40250000
2026-03-26,175.35,176.50,174.80,176.10,38900000
2026-03-27,176.05,177.20,175.50,176.85,41700000
2026-03-28,176.90,178.10,176.20,177.55,43600000
2026-03-31,177.50,178.80,176.90,178.20,45100000
2026-04-01,178.25,179.40,177.60,178.95,42800000
2026-04-02,179.00,180.30,178.40,179.75,46300000
2026-04-03,179.80,181.10,179.20,180.55,44200000
2026-04-06,180.60,182.00,179.90,181.30,47800000
2026-04-07,181.35,182.70,180.80,182.15,43900000
2026-04-08,182.20,183.50,181.60,182.90,42500000
2026-04-09,182.95,184.20,182.30,183.70,45700000
2026-04-10,183.75,185.00,183.10,184.40,46900000
2026-04-13,184.45,185.80,183.90,185.20,44100000
2026-04-14,185.25,186.50,184.70,185.95,42700000
2026-04-15,187.10,188.40,186.55,187.95,42531900
2026-04-16,187.95,189.20,187.30,188.80,45300000
2026-04-17,188.85,190.10,188.20,189.65,43800000
2026-04-20,189.70,190.95,189.00,190.35,46100000
2026-04-21,190.40,191.70,189.80,191.20,44700000
2026-04-22,191.25,192.50,190.65,191.85,42900000
2026-04-23,191.90,193.10,191.30,192.55,45600000
2026-04-24,192.60,193.80,192.00,193.20,43400000
2026-04-25,193.25,194.50,192.85,194.05,44850000
