date,open,high,low,close,volume
2026-03-17,150.10,151.55,149.20,150.80,18500000
2026-03-18,150.85,152.40,150.00,151.95,21200000
2026-03-19,151.95,153.10,151.30,152.50,19800000
2026-03-20,152.40,153.75,151.85,153.00,22100000
2026-03-21,153.05,154.30,152.50,153.60,17650000
2026-03-24,153.55,155.20,153.00,154.80,24900000
2026-03-25,154.85,156.00,154.10,155.40,20250000
2026-03-26,155.35,156.50,154.80,156.10,18900000
2026-03-27,156.05,157.20,155.50,156.85,21700000
2026-03-28,156.90,158.10,156.20,157.55,23600000
2026-03-31,157.50,158.80,156.90,158.20,25100000
2026-04-01,158.25,159.40,157.60,158.95,22800000
2026-04-02,159.00,160.30,158.40,159.75,26300000
2026-04-03,159.80,161.10,159.20,160.55,24200000
2026-04-06,160.60,162.00,159.90,161.30,27800000
2026-04-07,161.35,162.70,160.80,162.15,23900000
2026-04-08,162.20,163.50,161.60,162.90,22500000
2026-04-09,162.95,164.20,162.30,163.70,25700000
2026-04-10,163.75,165.00,163.10,164.40,26900000
2026-04-13,164.45,165.80,163.90,165.20,24100000
2026-04-14,165.25,166.50,164.70,165.95,22700000
2026-04-15,167.10,168.40,166.55,167.95,22531900
2026-04-16,167.95,169.20,167.30,168.80,25300000
2026-04-17,168.85,170.10,168.20,169.65,23800000
2026-04-20,169.70,170.95,169.00,170.35,26100000
2026-04-21,170.40,171.70,169.80,171.20,24700000
2026-04-22,171.25,172.50,170.65,171.85,22900000
2026-04-23,171.90,173.10,171.30,172.55,25600000
2026-04-24,172.60,173.80,172.00,173.20,23400000
2026-04-25,173.25,174.50,172.85,174.05,24850000
