date,open,high,low,close,volume
2026-03-17,390.10,391.55,389.20,390.80,29500000
2026-03-18,390.85,392.40,390.00,391.95,32200000
2026-03-19,391.95,393.10,391.30,392.50,30800000
2026-03-20,392.40,393.75,391.85,393.00,33100000
2026-03-21,393.05,394.30,392.50,393.60,28650000
2026-03-24,393.55,395.20,393.00,394.80,35900000
2026-03-25,394.85,396.00,394.10,395.40,31250000
2026-03-26,395.35,396.50,394.80,396.10,29900000
2026-03-27,396.05,397.20,395.50,396.85,32700000
2026-03-28,396.90,398.10,396.20,397.55,34600000
2026-03-31,397.50,398.80,396.90,398.20,36100000
2026-04-01,398.25,399.40,397.60,398.95,33800000
2026-04-02,399.00,400.30,398.40,399.75,37300000
2026-04-03,399.80,401.10,399.20,400.55,35200000
2026-04-06,400.60,402.00,399.90,401.30,38800000
2026-04-07,401.35,402.70,400.80,402.15,34900000
2026-04-08,402.20,403.50,401.60,402.90,33500000
2026-04-09,402.95,404.20,402.30,403.70,36700000
2026-04-10,403.75,405.00,403.10,404.40,37900000
2026-04-13,404.45,405.80,403.90,405.20,35100000
2026-04-14,405.25,406.50,404.70,405.95,33700000
2026-04-15,407.10,408.40,406.55,407.95,33531900
2026-04-16,407.95,409.20,407.30,408.80,36300000
2026-04-17,408.85,410.10,408.20,409.65,34800000
2026-04-20,409.70,410.95,409.00,410.35,37100000
2026-04-21,410.40,411.70,409.80,411.20,35700000
2026-04-22,411.25,412.50,410.65,411.85,33900000
2026-04-23,411.90,413.10,411.30,412.55,36600000
2026-04-24,412.60,413.80,412.00,413.20,34400000
2026-04-25,413.25,414.50,412.85,414.05,35850000
